参数,基准值,倍率,参数取值,总费用(元),惩罚成本(元),运输成本(元),调度次数,调度车辆数,无法借车次数,无法还车次数,需求满足率(%)
每公里运输成本,3.5,0.6,2.1,5725.22,5358.63,366.59,28,70,308,14,97.51
每公里运输成本,3.5,0.8,2.8,5800.75,5358.63,442.12,28,70,308,14,97.51
每公里运输成本,3.5,1.0,3.5,5868.28,5348.63,519.65,28,71,307,14,97.52
每公里运输成本,3.5,1.2,4.2,5896.93,5353.63,543.29,26,71,308,14,97.51
每公里运输成本,3.5,1.4,4.9,5974.73,5375.94,598.79,26,68,306,14,97.53
每辆单次搬运成本,2.0,0.6,1.2,5807.92,5348.63,459.29,27,71,307,14,97.52
每辆单次搬运成本,2.0,0.8,1.6,5839.88,5348.63,491.25,28,71,307,14,97.52
每辆单次搬运成本,2.0,1.0,2.0,5868.28,5348.63,519.65,28,71,307,14,97.52
每辆单次搬运成本,2.0,1.2,2.4,5896.68,5348.63,548.05,28,71,307,14,97.52
每辆单次搬运成本,2.0,1.4,2.8,5925.08,5348.63,576.45,28,71,307,14,97.52
满桩惩罚系数,8.0,0.6,4.8,5868.28,5348.63,519.65,28,71,307,14,97.52
满桩惩罚系数,8.0,0.8,6.4,5868.28,5348.63,519.65,28,71,307,14,97.52
满桩惩罚系数,8.0,1.0,8.0,5868.28,5348.63,519.65,28,71,307,14,97.52
满桩惩罚系数,8.0,1.2,9.6,5868.28,5348.63,519.65,28,71,307,14,97.52
满桩惩罚系数,8.0,1.4,11.2,5868.28,5348.63,519.65,28,71,307,14,97.52
空桩惩罚系数,5.0,0.6,3.0,3688.14,3246.15,442.0,23,65,306,14,97.53
空桩惩罚系数,5.0,0.8,4.0,4759.32,4282.91,476.41,26,71,308,14,97.51
空桩惩罚系数,5.0,1.0,5.0,5868.28,5348.63,519.65,28,71,307,14,97.52
空桩惩罚系数,5.0,1.2,6.0,6948.01,6430.36,517.65,28,70,308,14,97.51
空桩惩罚系数,5.0,1.4,7.0,8016.17,7502.09,514.09,27,70,308,14,97.51
